epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.311,1.5492,4.42954,1.84125,0.59816,0.20364,0.19653,0.13705,1.38469,inf,1.80831,4.89681e-05,4.89681e-05,4.89681e-05
2,537.77,1.37335,3.13508,1.69623,0.64005,0.30343,0.32012,0.23152,1.27013,inf,1.71483,7.85704e-05,7.85704e-05,7.85704e-05
3,794.149,1.29826,2.64567,1.63449,0.6306,0.36165,0.36516,0.2628,1.24155,inf,1.67889,8.87688e-05,8.87688e-05,8.87688e-05
4,1050.17,1.25181,2.35903,1.59187,0.72783,0.38591,0.41531,0.30996,1.18791,inf,1.63186,5.9682e-05,5.9682e-05,5.9682e-05
5,1307.71,1.20511,2.17849,1.5545,0.73234,0.39502,0.43055,0.32306,1.16448,inf,1.607,3.0576e-05,3.0576e-05,3.0576e-05
